origin,55,30,25
vertex,298,-1.12,0.00,-0.22
vertex,299,-1.22,0.00,-0.12
vertex,300,-1.24,-0.16,0.00
vertex,301,-1.21,-0.16,0.12
vertex,302,-1.12,-0.15,0.22
vertex,303,-0.99,-0.13,0.25
vertex,304,-0.87,-0.11,0.22
vertex,305,-0.78,-0.10,0.12
vertex,306,-0.74,-0.10,0.00
vertex,307,-0.78,-0.10,-0.12
vertex,308,-0.87,-0.11,-0.22
vertex,309,-0.99,-0.13,-0.25
vertex,310,-1.12,-0.15,-0.22
vertex,311,-1.21,-0.16,-0.12
vertex,312,-1.21,-0.32,0.00
vertex,313,-1.18,-0.31,0.12
vertex,314,-1.09,-0.29,0.22
vertex,315,-0.97,-0.26,0.25
vertex,316,-0.85,-0.23,0.22
vertex,317,-0.76,-0.20,0.12
vertex,318,-0.72,-0.19,0.00
vertex,319,-0.76,-0.20,-0.12
vertex,320,-0.85,-0.23,-0.22
vertex,321,-0.97,-0.26,-0.25
vertex,322,-1.09,-0.29,-0.22
vertex,323,-1.18,-0.31,-0.12
vertex,324,-1.15,-0.48,0.00
vertex,325,-1.12,-0.47,0.12
vertex,326,-1.04,-0.43,0.22
vertex,327,-0.92,-0.38,0.25
vertex,328,-0.81,-0.33,0.22
vertex,329,-0.72,-0.30,0.12
vertex,330,-0.69,-0.29,0.00
vertex,331,-0.72,-0.30,-0.12
vertex,332,-0.81,-0.33,-0.22
vertex,333,-0.92,-0.38,-0.25
vertex,334,-1.04,-0.43,-0.22
vertex,335,-1.12,-0.47,-0.12
vertex,336,-1.08,-0.62,0.00
vertex,337,-1.05,-0.61,0.12
vertex,338,-0.97,-0.56,0.22
vertex,339,-0.87,-0.50,0.25
vertex,340,-0.76,-0.44,0.22
vertex,341,-0.68,-0.39,0.12
vertex,342,-0.65,-0.37,0.00
vertex,343,-0.68,-0.39,-0.12
vertex,344,-0.76,-0.44,-0.22
vertex,345,-0.87,-0.50,-0.25
vertex,346,-0.97,-0.56,-0.22
vertex,347,-1.05,-0.61,-0.12
vertex,348,-0.99,-0.76,0.00
vertex,349,-0.97,-0.74,0.12
vertex,350,-0.89,-0.68,0.22
vertex,351,-0.79,-0.61,0.25
vertex,352,-0.69,-0.53,0.22
vertex,353,-0.62,-0.48,0.12
vertex,354,-0.60,-0.46,0.00
vertex,355,-0.62,-0.48,-0.12
vertex,356,-0.69,-0.53,-0.22
vertex,357,-0.79,-0.61,-0.25
vertex,358,-0.89,-0.68,-0.22
